data10
10 3
219 5 276
84 13 103
336 35 146
271 62 264
120 33 303
299 14 328
106 46 91
181 93 97
263 13 168
79 60 235

data20
20 3
592 82 321
547 18 687
284 11 219
568 46 507
189 76 604
465 52 577
234 53 732
391 49 718
205 10 64
157 29 176
505 40 637
211 21 326
518 57 645
625 15 53
500 51 66
114 1 506
454 91 167
174 75 319
340 56 480
184 61 69


data50
    50    3
    90    22   785
   686    33   126
   176     2   114
    21     7   516
   716    41    22
   807    45   470
   565    38   546
   103    33    28
   564    35   357
   418    42   333
   577    39   636
   248    10    82
   328    17     8
   446    13   765
   656    30   798
   659    35   113
   394     1   243
   317    46   116
   132    45   178
   190    23   291
   249    46    88
   250    47   297
   792    49   541
   246    48   573
   786    43   481
   758     2   124
   216    18   306
   184    28   709
   810    28   434
   686    35   658
   206     9   263
   839    42   306
   113    27   807
   175    33   278
   720     6   141
    80    45   568
   201    46   766
   234    21   307
   333    24    55
   255    44   257
   504    47   559
    22    22   730
   245    36   636
   239    14    55
   683     8   117
   509     7   809
   464    13    39
   159    46   596
   242    35   428
   585     7   197

   
data100
   100    3
  1307    12   171
   700    24   972
   127    43   305
   896     2   847
   637    37    27
  1531    15   712
   830    33  1292
   176    24   308
  1516    30  1176
  1464    45   299
   675    22  1177
    30    45   155
   296    24   790
   821    25  1457
   893    36    19
  1384    45  1641
   897    11  1368
   199    21  1456
   405    37   130
   836    23   229
   428    40   751
  1275    49  1564
  1312    22  1445
  1322    35  1584
  1164    39   477
   384    45  1192
  1509    31   188
   600    37   657
  1027    15   743
   359    49   333
   696     8   926
  1608    18   712
   772    21  1302
   225    25   592
   657    28   267
  1099    48  1676
  1647    11  1340
   480    10   695
   165    46  1245
   687    21  1519
  1188    23  1560
   713    45   861
  1524     9  1465
  1206    12  1377
  1571    29   752
  1107     3  1300
    97    13   179
  1223    33  1515
   174    21   964
   110    34   317
   636    10   761
   497    28  1067
   620    20   136
   173    26  1270
   317    50   179
   197     6   490
  1020    32   377
   924    48  1230
  1283    33  1331
   129    26  1286
  1255    11   317
  1327     4  1127
   420    18   604
  1532     4   787
  1567     8   336
  1336    31   994
  1406     9  1007
  1607    22    11
  1278     8  1517
   531    30  1078
   118    45  1426
  1015    19   803
   890    25   134
  1654     2  1199
  1479    25   200
  1425    34   910
   864     2   809
   553    11  1055
   480    38   747
  1502     8   810
  1099    44  1451
  1409    40  1350
   618    39   646
  1583    18  1399
   686    49  1060
   848     1   620
   549    42   251
  1385    45  1326
  1172    35  1401
   985    13   485
   159    19   887
   422    45   144
   266     4  1510
   955    44  1218
   592    41   699
   196     4  1388
  1318     5  1410
   305     9   346
  1384    31   609
  1311     3   516

data200
   200    3
  1307    12   171
   700    24   972
   127    43   305
   896     2   847
  2337    37    27
  3231    15   712
  2530    33  1292
  1876    24   308
  1516    30  2876
  3164    45   299
   675    22  1177
    30    45  1855
   296    24  2490
   821    25  3157
   893    36    19
  1384    45  1641
   897    11  1368
  1899    21  3156
   405    37  1830
   836    23   229
